Temp_Min,Temp_Max,RH_Min,RH_Max,Wind_Speed,Rainfall,No_of_rainy_days,Sunshine_Hrs,Inc_Per
21.11,32.07,71.00,91.57,5.40,57.20,4.00,6.34,0.20
20.84,31.30,64.43,92.00,5.43,138.10,5.00,6.71,0.43
21.00,32.31,57.71,90.86,4.24,54.50,5.00,5.89,0.79
21.39,32.31,60.43,88.57,4.56,2.60,2.00,7.80,1.28
21.13,31.21,67.14,90.71,6.36,57.90,4.00,5.70,1.75
21.21,29.67,67.00,91.43,6.16,110.60,5.00,6.28,2.57
21.11,30.90,64.57,89.71,6.27,40.40,2.00,6.11,3.71
20.41,32.31,48.14,89.29,3.44,12.40,2.00,8.87,3.81
19.79,31.30,48.86,82.71,5.87,0.00,0.00,6.84,4.31
18.96,31.50,49.00,84.71,5.57,0.00,0.00,7.64,4.07
20.01,31.34,45.14,87.43,6.05,0.00,0.00,7.79,4.63
18.91,29.60,58.57,88.86,6.56,1.20,1.00,5.74,4.56
18.26,30.80,57.00,88.57,5.29,0.00,0.00,8.04,5.05
17.90,30.26,60.00,88.14,5.61,0.00,0.00,7.56,5.59
19.19,29.91,68.00,87.43,6.38,0.00,0.00,5.51,5.59
18.16,29.84,63.14,90.00,7.26,0.00,0.00,5.94,4.98
21.03,30.29,64.86,90.57,6.91,0.00,0.00,5.67,2.79
16.07,30.77,55.86,87.29,5.00,0.00,0.00,7.64,2.43
18.61,32.47,34.43,76.86,5.85,0.00,0.00,8.59,2.36
17.07,31.77,35.14,78.29,6.12,0.00,0.00,8.89,2.38
18.06,32.20,35.43,78.29,6.89,0.00,0.00,8.01,2.35
18.69,32.66,35.86,71.00,6.50,0.00,0.00,7.36,2.29
19.33,34.21,33.14,63.14,6.17,0.00,0.00,9.20,1.88
19.30,34.24,36.57,66.14,7.63,7.00,1.00,9.21,1.42
19.14,34.09,36.57,67.86,5.68,0.00,0.00,9.37,1.19
21.06,35.57,42.71,65.00,6.21,0.00,0.00,9.11,0.74
21.73,37.36,39.71,59.14,6.32,0.00,0.00,8.91,0.18
22.77,37.87,45.57,70.43,7.18,26.50,1.00,9.13,0.18
24.26,39.39,36.60,67.43,6.87,0.00,0.00,8.93,0.12
23.03,39.49,41.14,64.00,6.41,0.00,0.00,9.21,0.18
23.00,39.90,28.57,64.57,6.40,24.80,1.00,8.72,0.15
22.84,39.93,22.86,58.29,6.97,0.00,0.00,10.77,0.44
23.90,40.50,25.49,64.14,7.18,0.00,0.00,8.90,0.72
25.21,41.49,28.14,55.71,7.88,0.00,0.00,9.46,0.82
23.84,39.36,37.86,75.00,6.77,15.40,6.00,8.27,0.97
24.27,41.99,35.86,72.14,8.85,1.80,1.00,8.61,0.98
24.90,41.11,51.14,74.29,8.87,0.30,1.00,9.36,0.54
21.47,34.91,58.29,86.86,10.67,12.50,4.00,7.23,0.73
22.14,34.41,65.86,86.00,8.80,49.00,1.00,6.63,0.96
21.96,32.29,68.29,91.43,8.17,23.41,3.00,4.13,0.99
22.09,33.36,63.29,89.57,6.24,65.60,3.00,7.43,1.42
21.84,31.83,68.43,90.57,7.51,55.60,2.00,6.09,1.94
21.56,32.04,64.29,92.00,7.13,27.00,2.00,5.83,0.03
21.51,30.93,73.14,92.00,6.12,33.60,1.00,4.58,0.06
21.34,30.80,78.86,92.86,4.29,60.80,5.00,3.68,0.13
21.39,32.21,70.71,91.14,4.83,20.80,2.00,4.71,0.23
21.54,30.30,78.86,92.00,8.34,4.20,2.00,4.30,0.56
20.91,29.03,83.57,94.86,6.77,48.50,6.00,0.00,0.89
20.67,30.51,78.29,94.14,6.94,51.60,4.00,0.87,1.15
20.69,31.89,70.14,93.29,6.13,8.30,3.00,6.86,1.42
22.16,33.87,69.00,90.29,5.87,2.00,1.00,7.69,1.67
21.60,32.91,75.57,94.86,4.69,15.40,3.00,4.47,2.00
21.47,29.77,84.86,98.29,5.61,64.90,5.00,0.57,2.22
21.26,31.84,78.00,93.29,5.78,30.00,3.00,4.94,2.58
20.87,33.27,71.43,94.14,5.23,0.00,0.00,6.44,3.38
20.50,33.39,75.33,94.43,3.37,35.40,1.00,6.24,4.33
20.66,29.60,82.29,96.14,9.51,158.90,5.00,3.03,4.38
20.71,31.94,71.86,94.29,8.90,42.60,2.00,6.11,2.62
19.69,31.90,69.57,87.71,7.33,12.20,1.00,7.33,2.34
15.99,32.27,71.43,85.86,6.87,0.00,0.00,8.47,1.94
16.24,32.14,61.00,88.14,5.92,0.00,0.00,9.39,1.74
19.61,33.34,44.14,84.71,5.25,0.00,0.00,9.04,1.36
17.91,30.63,47.00,78.71,9.70,0.00,0.00,5.92,1.12
15.20,31.37,33.43,76.71,5.47,0.00,0.00,7.43,0.85
19.03,31.79,42.29,68.29,3.47,0.00,0.00,8.13,0.83
15.67,30.33,54.86,85.14,3.10,0.00,0.00,7.11,0.86
13.59,30.16,46.14,79.86,5.74,0.00,0.00,8.51,0.70
16.06,30.56,53.86,85.00,7.72,0.00,0.00,6.30,0.67
19.77,30.93,56.00,82.43,6.57,0.00,0.00,5.24,0.67
17.56,32.40,54.14,81.00,3.48,0.00,0.00,7.77,0.66
17.01,32.70,49.43,81.86,4.02,0.00,0.00,8.03,0.61
16.97,32.56,49.00,80.14,3.69,0.00,0.00,7.93,0.60
14.77,31.77,49.57,74.57,4.44,0.00,0.00,8.60,0.53
15.60,32.59,49.86,71.86,3.84,0.00,0.00,9.41,0.51
16.70,33.26,60.14,79.71,2.02,0.80,1.00,7.77,0.46
18.70,35.79,51.71,68.43,2.22,0.00,0.00,8.91,0.43
19.63,37.53,28.29,61.71,2.62,0.00,0.00,9.29,0.43
18.77,37.07,21.00,56.71,2.03,0.00,0.00,8.96,0.43
20.40,37.50,33.29,59.71,2.50,0.00,0.00,7.35,0.37
21.13,38.71,27.29,59.14,1.61,10.20,1.00,8.32,0.42
20.39,40.13,30.71,67.57,2.43,0.00,0.00,9.46,0.47
24.37,38.56,50.86,67.57,1.90,0.00,0.00,4.91,0.46
21.06,38.57,43.57,75.14,2.12,42.20,2.00,5.79,0.46
22.74,39.97,30.43,60.57,2.09,0.00,0.00,9.36,0.46
21.61,40.04,37.00,69.86,2.50,7.40,2.00,8.39,0.46
23.50,38.76,31.71,69.43,1.50,4.60,2.00,6.74,0.56
23.90,39.53,34.86,66.43,6.19,24.10,2.00,7.26,0.66
22.96,38.64,40.57,77.00,5.19,26.20,2.00,8.03,0.74
22.04,37.39,42.43,82.00,5.21,18.40,2.00,7.25,0.82
21.54,34.80,49.71,86.43,2.81,38.70,3.00,7.07,0.90
21.14,33.63,55.57,82.14,7.20,21.90,2.00,9.20,1.09
20.83,33.00,54.14,86.29,6.58,24.60,4.00,5.94,1.22
20.94,32.91,61.57,85.71,5.92,77.20,1.00,5.70,1.34
21.93,34.03,52.71,82.71,4.21,3.00,1.00,7.03,1.42
21.50,33.50,61.00,91.14,3.66,66.60,5.00,4.06,0.60
20.99,30.30,70.86,91.14,4.33,48.10,6.00,2.23,0.64
20.23,29.47,73.43,90.71,5.97,42.50,6.00,2.76,0.77
20.13,30.69,65.43,86.43,7.55,0.00,0.00,4.49,0.94
20.49,32.07,54.14,86.71,5.14,2.60,1.00,6.00,1.32
20.94,33.13,51.29,83.00,5.99,2.60,1.00,7.29,1.20
20.13,29.69,67.43,93.00,4.14,35.70,5.00,2.26,0.20
21.13,31.50,65.00,89.14,3.66,26.10,3.00,5.61,1.99
20.31,30.86,65.86,93.57,3.82,63.60,5.00,1.69,1.41
20.11,30.37,71.57,90.71,5.42,39.40,4.00,3.37,1.40
20.30,32.44,50.86,89.71,5.25,4.80,2.00,6.86,1.27
20.36,30.66,68.00,93.57,4.71,118.90,5.00,5.09,1.13
20.73,31.57,63.57,87.43,3.88,53.20,5.00,5.87,1.11
20.53,32.57,61.29,92.43,3.49,59.00,4.00,6.47,1.00
19.33,32.70,44.29,86.29,2.67,7.60,2.00,6.56,0.92
17.83,33.07,34.71,76.43,3.47,0.00,0.00,9.57,0.86
17.83,32.46,35.86,70.57,5.44,0.00,0.00,8.33,0.81
19.19,32.51,42.86,77.57,4.80,0.00,0.00,6.73,0.75
17.41,31.79,45.00,76.29,4.43,6.00,1.00,6.43,0.71
20.90,30.80,60.71,90.86,5.73,34.60,3.00,4.00,0.67
18.30,31.84,48.71,83.71,3.39,1.60,1.00,7.03,0.62
18.70,29.24,57.57,84.71,4.35,20.80,2.00,2.16,0.59
17.36,30.53,41.86,75.86,4.64,0.00,0.00,5.69,0.57
13.83,29.14,39.86,76.00,4.18,0.00,0.00,4.33,0.53
12.89,30.54,36.14,83.86,2.08,0.00,0.00,8.39,0.51
15.29,30.23,41.57,85.14,4.53,0.00,0.00,6.43,0.51
14.74,30.43,38.29,78.14,1.85,0.00,0.00,6.29,0.51
15.11,29.13,39.86,88.14,3.72,0.00,0.00,3.99,0.54
13.50,31.37,34.57,81.71,4.07,0.00,0.00,9.03,0.50
11.99,28.91,32.00,68.71,4.89,0.00,0.00,8.14,0.50
12.46,32.61,26.57,67.00,3.91,0.00,0.00,9.86,0.50
16.36,32.36,33.00,64.86,4.07,0.00,0.00,8.13,0.50
16.56,33.76,28.14,59.29,4.22,0.00,0.00,8.99,0.50
17.61,35.23,27.43,51.43,4.83,0.00,0.00,9.21,0.50
17.90,35.71,19.86,48.86,3.77,0.00,0.00,7.91,2.23
20.39,34.13,29.14,55.29,5.40,0.00,0.00,5.04,0.50
19.99,39.13,12.86,37.86,5.10,0.00,0.00,8.19,0.50
23.21,39.51,21.00,54.71,4.36,0.00,0.00,5.24,0.50
19.56,41.50,17.43,39.43,4.51,0.00,0.00,9.06,0.50
23.54,40.76,23.43,67.00,4.32,0.37,0.14,6.41,0.50
23.79,41.26,25.29,75.29,4.93,0.00,0.00,5.87,0.50
22.81,41.03,23.43,58.29,6.26,0.14,0.00,6.26,0.51
23.34,41.87,15.57,50.57,8.38,0.14,0.29,8.70,0.51
23.47,41.61,19.71,57.14,7.01,0.00,0.00,7.97,0.51
24.20,40.61,31.14,64.57,8.42,2.79,0.14,3.77,0.51
22.46,37.14,46.86,79.43,6.38,3.67,0.14,3.30,0.52
21.26,37.16,30.71,71.57,8.07,0.00,0.00,8.96,0.52
22.94,38.44,33.57,69.57,8.40,0.00,0.00,6.27,0.52
21.36,36.03,41.57,74.86,8.27,2.60,0.43,8.39,0.00
22.01,35.80,42.57,73.14,6.03,0.00,0.00,8.46,0.00
20.16,33.21,50.57,82.14,6.19,1.31,0.29,4.93,0.00
20.49,33.53,48.14,83.14,6.86,1.44,0.43,5.77,0.00
20.56,29.60,66.71,90.00,6.04,11.79,1.00,1.11,0.00
19.76,27.63,80.00,91.71,6.37,9.79,0.71,1.27,0.01
20.16,29.84,65.71,90.14,5.72,2.17,0.43,3.47,0.00
20.54,31.38,64.10,87.31,3.84,1.81,0.35,4.30,0.03
20.26,30.65,67.38,93.50,3.56,14.99,0.63,2.99,0.03
20.29,28.24,72.57,90.71,6.15,6.53,0.57,2.46,0.03
19.60,30.93,63.00,90.43,4.94,2.84,0.43,5.66,0.04
19.71,32.01,57.14,86.57,5.47,0.21,0.14,6.33,0.04
20.57,31.97,64.43,87.29,3.31,2.90,0.43,6.37,0.03
20.24,30.26,74.43,95.86,2.37,10.93,0.86,3.44,0.02
19.47,30.41,65.14,92.00,5.43,0.53,0.29,4.79,0.02
18.57,30.37,59.71,87.43,5.58,0.00,0.00,4.71,0.01
19.71,31.69,57.14,91.00,4.70,1.29,0.43,4.47,0.01
19.57,31.63,51.57,87.57,5.49,1.53,0.14,5.96,0.00
20.10,29.53,72.29,94.43,2.96,11.16,0.57,3.99,0.00
19.34,30.29,60.71,91.00,3.25,12.43,0.57,6.97,0.00
14.59,30.86,34.00,73.86,4.17,0.00,0.00,9.99,0.00
16.16,31.61,36.57,70.00,4.38,0.00,0.00,9.31,0.00
14.40,31.59,29.00,64.57,4.84,0.00,0.00,9.01,0.00
13.56,30.44,33.29,69.43,3.73,0.00,0.00,8.57,0.00
15.76,31.46,40.29,67.43,3.08,0.00,0.00,5.70,0.00
15.01,31.54,40.86,73.14,2.60,0.00,0.00,7.91,0.00
13.29,30.47,35.43,73.14,4.51,0.00,0.00,6.14,0.00
17.39,31.19,48.57,83.86,4.41,1.01,0.00,7.51,0.00
12.16,31.99,29.57,70.86,3.51,0.00,0.00,9.40,0.00
16.07,33.11,37.32,76.73,3.06,0.00,0.00,8.81,0.00
16.66,30.90,40.14,77.71,4.19,0.00,0.00,6.37,0.00
12.13,31.07,26.14,70.29,2.96,0.00,0.00,9.67,0.00
15.03,32.11,31.57,71.43,4.18,0.00,0.00,9.59,0.00
17.24,31.67,31.71,68.57,6.29,0.00,0.00,9.11,0.00
14.67,32.00,29.43,65.14,5.13,0.00,0.00,7.77,0.00
14.94,34.59,25.57,52.86,3.68,0.00,0.00,9.79,0.00
13.09,34.89,19.29,53.57,5.99,0.00,0.00,10.33,0.00
16.56,35.11,19.71,49.00,3.86,0.00,0.00,9.83,0.00
18.13,35.27,16.69,47.86,4.53,0.00,0.00,8.76,0.00
18.74,34.63,24.14,46.86,4.86,0.00,0.00,7.97,0.00
18.66,34.43,28.71,58.71,5.60,0.00,0.00,6.87,0.00
17.80,34.77,22.00,62.00,5.87,0.00,0.00,10.21,0.00
18.27,36.90,19.14,55.57,5.97,0.00,0.00,10.41,0.00
21.09,37.23,25.57,55.57,6.42,0.00,0.00,7.63,0.00
22.50,38.87,22.86,48.43,4.85,0.40,0.00,7.97,0.00
23.21,39.14,22.29,44.86,4.61,0.00,0.00,10.07,0.00
21.34,36.67,33.29,63.43,6.17,3.99,0.00,9.20,0.00
22.31,35.53,33.71,68.71,5.00,0.54,0.00,9.57,0.00
23.39,39.11,26.86,72.14,4.53,1.44,0.00,8.41,0.00
23.90,40.56,20.71,59.14,6.80,0.00,0.00,10.57,0.00
24.07,39.74,26.57,61.71,6.87,0.00,0.00,9.69,0.00
24.86,38.49,25.43,54.43,7.05,0.14,0.00,9.93,0.00
25.79,37.33,31.29,65.57,8.50,0.00,0.00,11.06,5.76
25.71,36.57,31.71,69.86,10.42,0.00,0.00,10.87,8.76
25.69,35.71,39.14,71.00,9.37,2.46,0.14,7.91,15.67
24.17,33.04,53.29,78.43,8.83,0.73,0.14,6.61,8.87
21.67,32.83,55.29,83.71,6.90,17.24,0.57,5.56,12.00
21.61,32.87,52.14,83.00,7.31,0.74,0.43,4.07,13.43
20.86,28.49,79.71,92.43,5.30,11.43,0.86,0.36,14.36
20.59,29.13,77.43,92.71,5.20,13.23,0.86,1.06,16.59
20.87,30.61,62.29,86.43,6.15,1.56,2.00,5.40,18.82
20.14,32.23,56.71,84.29,5.65,0.09,0.00,7.19,31.01
20.37,31.33,54.71,84.29,5.86,0.89,0.00,5.29,23.27
19.99,33.57,48.29,84.29,5.80,0.49,0.00,9.77,26.84
22.59,34.27,37.26,81.57,4.01,1.19,0.00,6.73,1.88
24.43,30.86,20.73,88.57,5.79,4.61,0.00,3.27,1.76
24.14,33.79,19.73,86.14,5.84,0.00,0.00,8.11,1.73
24.41,33.21,20.29,87.71,4.58,0.00,0.00,6.53,1.62
24.30,32.56,28.30,91.29,1.26,1.66,0.00,5.74,1.50
19.30,32.63,43.86,85.00,1.79,1.61,0.00,8.30,1.50
19.79,34.11,38.29,74.00,0.37,0.00,0.00,8.46,1.73
19.33,33.79,34.86,71.14,0.47,0.00,0.00,8.47,1.34
14.64,33.57,26.57,61.86,0.17,0.00,0.00,9.03,1.21
16.99,33.14,38.86,68.00,0.45,0.00,0.00,6.10,1.15
18.67,31.23,54.14,84.57,0.78,4.29,0.00,3.74,1.01
16.07,31.70,38.14,76.43,0.86,0.00,0.00,6.26,0.89
17.67,32.11,41.29,77.29,2.59,0.00,0.00,8.36,0.75
18.39,31.06,50.29,84.29,4.22,2.80,0.00,7.70,0.64
16.00,29.46,53.71,85.57,3.43,0.00,0.00,4.96,0.54
14.17,29.53,39.57,74.71,2.94,0.00,0.00,6.34,0.38
13.33,29.21,33.71,66.43,3.09,0.00,0.00,5.69,0.21
13.11,30.97,35.43,80.29,2.68,0.00,0.00,9.17,0.09
14.93,30.16,38.14,79.14,3.81,0.00,0.00,7.13,0.00
15.56,30.61,35.00,70.29,4.52,0.00,0.00,6.66,10.42
13.03,32.20,32.00,73.43,4.20,0.00,0.00,9.09,8.76
12.99,31.43,34.00,66.86,4.79,0.00,0.00,6.66,10.08
14.20,32.34,27.86,66.29,3.53,0.00,0.00,8.77,10.54
16.31,35.56,27.86,66.71,3.35,0.00,0.00,9.01,10.80
15.79,34.56,22.00,55.86,4.32,0.00,0.00,9.26,11.20
15.09,34.70,20.29,50.43,4.09,0.00,0.00,9.87,10.62
19.73,35.70,27.43,57.57,4.96,0.80,0.00,8.66,11.76
17.29,36.27,19.57,40.71,7.97,0.00,0.00,9.34,11.99
19.94,38.03,21.14,43.57,9.11,0.00,0.00,9.09,10.80
19.68,37.10,20.57,42.00,4.25,0.00,0.00,8.91,10.33
23.97,39.54,20.29,43.86,4.28,0.00,0.00,7.89,11.31
23.34,41.44,16.14,37.57,5.97,0.00,0.00,8.53,0.00
21.77,40.23,26.71,58.14,5.61,5.70,1.00,8.06,0.00
23.70,40.44,25.14,57.71,4.77,41.80,1.00,8.90,0.00
22.84,40.57,23.00,55.86,5.89,12.30,2.00,9.80,0.00
23.03,37.93,28.29,59.57,5.42,0.00,0.00,10.03,0.00
23.70,37.06,32.86,72.57,4.42,0.00,0.00,7.37,7.99
23.61,40.16,19.86,63.43,8.66,4.70,1.00,3.20,11.89
24.46,40.67,26.00,58.14,6.58,13.60,2.00,9.30,12.44
24.39,39.79,24.86,60.86,7.11,1.00,0.00,10.06,8.39
20.60,35.50,51.86,85.86,5.34,77.00,5.00,5.39,8.16
20.20,30.77,62.00,91.71,5.22,120.80,3.00,5.77,9.36
21.33,33.36,53.00,85.29,4.95,7.06,2.00,7.19,7.63
20.81,31.41,66.00,88.29,6.53,18.50,3.00,4.54,8.56
20.74,30.40,61.86,85.29,6.97,15.00,3.00,5.90,7.87
20.53,31.43,63.71,89.43,5.44,30.10,2.00,5.20,3.26
20.49,29.49,73.00,90.14,5.83,26.80,2.00,0.97,4.68
20.20,27.96,79.14,76.29,5.52,22.70,4.00,7.89,6.00
21.34,30.87,64.29,88.57,6.50,5.90,1.00,2.86,7.54
20.30,31.39,59.57,92.29,3.89,53.10,3.00,5.59,9.51
21.74,33.50,58.71,87.71,3.31,17.10,2.00,6.47,11.79
20.37,32.34,65.00,93.71,3.17,132.10,6.00,5.77,13.45
21.41,31.46,62.29,80.89,5.82,5.70,1.00,5.79,15.43
21.81,29.20,64.29,90.86,5.71,67.70,3.00,4.97,18.28
19.30,31.91,54.14,88.14,4.85,3.00,1.00,6.73,2.44
20.01,32.73,52.14,77.57,3.95,25.10,2.00,6.09,2.36
20.36,29.24,70.00,94.00,2.58,69.40,5.00,5.51,2.15
21.04,34.16,53.43,90.57,1.68,15.60,2.00,7.29,1.97
21.11,32.57,54.29,86.43,3.78,0.90,0.00,121.61,1.75
21.17,32.81,58.86,91.29,2.66,37.50,2.00,7.44,1.56
19.36,32.47,39.00,89.00,2.20,21.40,1.00,7.89,1.33
19.89,33.51,41.29,83.86,1.56,6.40,1.00,7.17,0.86
17.86,33.03,32.43,77.57,1.93,0.00,0.00,8.17,0.58
15.05,31.40,30.25,70.75,3.89,0.00,0.00,8.78,0.31
